date,ipi_C25,ipi_C25_n,ipi_C30,ipi_C29,ipi_C20,ipi_C26,defense_proxy_ipi,defense_n_sectors,civil_ipi,civil_n_sectors,defense_vs_civil,defense_yoy_pct,civil_yoy_pct,ipi_gap_pct,total_ipi,total_ipi_yoy_pct
2017-01-01,104.53999999999999,5,103.84,105.11999999999998,102.54,101.98,104.19,2,103.21333333333332,3,100.94626017310426,1.628950448692934,0.9125277017338007,0.7164227469591333,102.2,-1.1605415860735049
2017-02-01,105.44000000000001,5,109.16,105.9,102.82000000000001,102.92,107.30000000000001,2,103.88000000000001,3,103.29226030034656,5.485646873771155,0.3994845360824728,5.086162337688682,103.7,2.1674876847290747
2017-03-01,108.28,5,108.96000000000001,107.02000000000001,105.74000000000001,103.82000000000001,108.62,2,105.52666666666669,3,102.93132857413607,6.198670316777477,4.433595038596039,1.7650752781814383,103.7,3.184079601990053
2017-04-01,108.17999999999999,5,107.3,103.66,103.64000000000001,104.12,107.74,2,103.80666666666667,3,103.7890951127095,2.5802151766161963,-0.05135117786765342,2.6315663544838497,104.3,2.054794520547931
2017-05-01,109.22,5,105.78,108.4,104.42,105.4,107.5,2,106.07333333333334,3,101.34498145936772,4.90875378159461,4.82935828172355,0.07939549987105998,104.9,4.274353876739578
2017-06-01,108.78000000000002,5,107.94000000000001,106.53999999999999,105.68000000000002,104.1,108.36000000000001,2,105.44000000000001,3,102.76934749620636,4.908510020331125,3.156796243151594,1.751713777179531,104.3,2.355250245338558
2017-07-01,109.16000000000001,5,106.38,107.0,106.5,106.3,107.77000000000001,2,106.60000000000001,3,101.09756097560975,4.4789142026175455,5.943152454780365,-1.4642382521628194,105.8,3.827281648675162
2017-08-01,112.46,5,110.34,110.4,106.55999999999999,106.55999999999999,111.4,2,107.83999999999999,3,103.30118694362021,6.704980842911867,3.7122523562223675,2.9927284866895,106.7,4.813359528487227
2017-09-01,111.97999999999999,5,108.16,110.78,106.33999999999999,104.86000000000001,110.07,2,107.32666666666667,3,102.55605938257033,5.602993380024945,5.830922955561402,-0.22792957553645632,106.2,4.322200392927322
2017-10-01,111.62,5,107.93999999999998,110.64000000000001,106.92,103.7,109.78,2,107.08666666666666,3,102.51509680632512,5.567843061832867,5.573447255997377,-0.00560419416451019,106.8,3.992210321324241
2017-11-01,113.12,5,107.8,111.92,108.58,105.78,110.46000000000001,2,108.75999999999999,3,101.56307465980142,5.521589606419575,5.000965437343119,0.5206241690764557,109.1,5.819592628516013
2017-12-01,115.64000000000001,5,106.38,111.72,109.72,109.08,111.01,2,110.17333333333333,3,100.75940941546655,7.50532636064305,5.9358974358974415,1.5694289247456084,109.7,6.401551891367618
2018-01-01,113.38,5,110.55999999999999,108.1,105.96,101.96,111.97,2,105.33999999999999,3,106.29390544902222,7.467127363470594,2.0604573052577235,5.40667005821287,108.0,5.675146771037176
2018-02-01,112.75999999999999,5,109.2,106.66,104.26000000000002,104.04,110.97999999999999,2,104.98666666666668,3,105.7086614173228,3.42963653308479,1.0653317930946038,2.364304739990186,106.2,2.4108003857280518
2018-03-01,112.1,5,110.55999999999999,110.74000000000001,103.62,106.58000000000001,111.32999999999998,2,106.98000000000002,3,104.0661805945036,2.494936475787135,1.3772190283656505,1.1177174474214846,106.3,2.507232401157178
2018-04-01,112.24000000000001,5,113.8,109.34,106.08,104.62,113.02000000000001,2,106.68,3,105.94300712410949,4.900686838685742,2.767966090809848,2.1327207478758936,106.8,2.396931927133261
2018-05-01,113.02000000000001,5,113.8,109.6,108.08,109.66,113.41,2,109.11333333333334,3,103.93780167410031,5.497674418604648,2.865941801269578,2.6317326173350697,108.4,3.336510962821726
2018-06-01,114.02000000000001,5,115.7,112.24000000000001,107.22,107.17999999999999,114.86000000000001,2,108.88,3,105.4922850844967,5.998523440383896,3.262518968133521,2.736004472250375,108.1,3.643336529242558
2018-07-01,113.82000000000001,5,116.94000000000001,106.6,106.14000000000001,106.6,115.38000000000001,2,106.44666666666667,3,108.3923091375963,7.061334323095481,-0.14383989993745905,7.205174223032939,106.5,0.6616257088846833
2018-08-01,114.22,5,120.35999999999999,108.82000000000001,107.3,107.02000000000001,117.28999999999999,2,107.71333333333332,3,108.89088320851643,5.287253141831227,-0.11745796241344753,5.404711104244675,108.2,1.4058106841611906
2018-09-01,114.4,5,117.28,105.41999999999999,105.67999999999999,107.9,115.84,2,106.33333333333333,3,108.94043887147336,5.242118651767069,-0.9255233244300998,6.167641976197169,107.3,1.0357815442561202
2018-10-01,114.93999999999998,5,120.92,107.52000000000001,106.05999999999999,110.1,117.92999999999999,2,107.89333333333332,3,109.30239742956007,7.42393878666423,0.7532839444686523,6.670654842195578,108.3,1.404494382022481
2018-11-01,112.55999999999999,5,117.93999999999998,103.5,103.88,107.72,115.24999999999999,2,105.03333333333335,3,109.72707077118373,4.336411370631876,-3.426504842466571,7.762916213098448,106.4,-2.4747937671860565
2018-12-01,112.92,5,119.47999999999999,105.3,107.11999999999998,107.04,116.19999999999999,2,106.48666666666666,3,109.12164277217803,4.675254481578217,-3.3462422848844264,8.021496766462644,107.2,-2.2789425706472244
2019-01-01,113.66,5,118.67999999999999,104.58,108.14000000000001,111.74000000000001,116.16999999999999,2,108.15333333333335,3,107.41231584787027,3.7510047334107233,2.670717043225146,1.0802876901855774,107.9,-0.0925925925925885
2019-02-01,114.96000000000001,5,122.28000000000002,106.96000000000001,106.92,110.7,118.62,2,108.19333333333333,3,109.63706944358864,6.884123265453246,3.0543561087122084,3.8297671567410374,108.0,1.6949152542372836
2019-03-01,115.94000000000001,5,126.08,107.35999999999999,107.17999999999999,112.85999999999999,121.01,2,109.13333333333333,3,110.88271227855834,8.694871103925284,2.012837290459246,6.682033813466037,108.1,1.6933207902163572
2019-04-01,114.74000000000001,5,122.96,105.8,107.22,112.43999999999998,118.85,2,108.48666666666666,3,109.55263319609168,5.158379047956108,1.6935383077115285,3.464840740244579,107.9,1.0299625468164877
2019-05-01,115.25999999999999,5,126.3,110.96000000000001,107.82000000000001,113.1,120.78,2,110.62666666666667,3,109.17801615041583,6.4985451018428675,1.3869371295900157,5.111607972252852,108.3,-0.0922509225092294
2019-06-01,114.33999999999999,5,119.46,108.55999999999999,106.82000000000001,112.7,116.89999999999999,2,109.36,3,106.89465983906364,1.7760752220093767,0.4408523144746601,1.3352229075347166,106.5,-1.480111008325624
2019-07-01,114.58,5,125.16,105.44000000000001,107.2,112.48000000000002,119.87,2,108.37333333333333,3,110.60839074803151,3.891488992893044,1.8099830901233682,2.081505902769676,106.4,-0.0938967136150159
2019-08-01,112.67999999999999,5,121.96,106.14000000000001,105.93999999999998,112.78,117.32,2,108.28666666666668,3,108.34205503909375,0.02557762810129205,0.5322770316271708,-0.5066994035258787,106.9,-1.2014787430683849
2019-09-01,112.58,5,128.38,104.21999999999998,106.16,113.63999999999999,120.47999999999999,2,108.00666666666666,3,111.54866983519535,4.00552486187844,1.5736677115987474,2.4318571502796926,107.1,-0.1863932898415687
2019-10-01,113.28,5,121.85999999999999,101.92,106.53999999999999,116.46,117.57,2,108.30666666666666,3,108.5528745537363,-0.3052658356652249,0.38309441423629575,-0.6883602499015207,107.7,-0.5540166204986097
2019-11-01,113.5,5,125.8,101.52,105.5,115.12,119.65,2,107.38,3,111.42670888433601,3.8177874186551053,2.2342113614725267,1.5835760571825785,106.1,-0.281954887218061
2019-12-01,111.61999999999998,5,126.41999999999999,99.75999999999999,102.75999999999999,112.5,119.01999999999998,2,105.00666666666666,3,113.34518443273443,2.4268502581755502,-1.389845364051845,3.816695622227395,104.5,-2.518656716417911
2020-01-01,113.21999999999998,5,122.02000000000001,101.28,104.7,117.1,117.62,2,107.69333333333334,3,109.21753126160702,1.2481707841955902,-0.42532207359922136,1.6734928577948116,107.2,-0.6487488415199305
2020-02-01,113.44000000000001,5,125.38,104.96,107.8,115.3,119.41,2,109.35333333333334,3,109.19648844723527,0.6659922441409449,1.0721547846447743,-0.4061625405038294,106.7,-1.2037037037036955
2020-03-01,92.70000000000002,5,96.03999999999999,60.04,102.12,96.41999999999999,94.37,2,86.19333333333333,3,109.48642586433598,-22.014709528138166,-21.02015882712278,-0.9945507010153847,95.3,-11.840888066604991
2020-04-01,68.14,5,78.84,13.02,89.96000000000001,82.62,73.49000000000001,2,61.866666666666674,3,118.7877155172414,-38.16575515355489,-42.97302279850057,4.807267644945682,76.0,-29.564411492122343
2020-05-01,87.34,5,97.3,46.1,94.41999999999999,95.72,92.32,2,78.74666666666666,3,117.23670843210297,-23.56350389137275,-28.817644931903107,5.254141040530357,86.4,-20.22160664819944
2020-06-01,98.08,5,104.46000000000001,76.53999999999999,98.33999999999999,102.5,101.27000000000001,2,92.46,3,109.52844473285748,-13.370402053036766,-15.453547915142652,2.0831458621058854,95.3,-10.51643192488263
2020-07-01,102.91999999999999,5,106.92,92.96000000000001,101.89999999999999,110.5,104.91999999999999,2,101.78666666666668,3,103.0783337699764,-12.471844498206409,-6.077755905511806,-6.394088592694603,100.1,-5.92105263157896
2020-08-01,107.7,5,110.64000000000001,94.34,102.35999999999999,112.36000000000001,109.17000000000002,2,103.02,3,105.9697146185207,-6.946812137742908,-4.86363356522811,-2.0831785725147984,101.0,-5.519176800748371
2020-09-01,109.03999999999999,5,105.76000000000002,100.32000000000001,105.28000000000002,113.81999999999998,107.4,2,106.47333333333334,3,100.87032746853673,-10.856573705179272,-1.4196654527498187,-9.436908252429454,101.5,-5.228758169934633
2020-10-01,111.2,5,108.02000000000001,107.62,108.56000000000002,115.47999999999999,109.61000000000001,2,110.55333333333333,3,99.14671651691494,-6.7704346346857065,2.0743567647421024,-8.844791399427809,104.5,-2.9712163416898862
2020-11-01,111.52000000000001,5,113.38000000000002,105.28,109.4,114.38,112.45000000000002,2,109.68666666666667,3,102.5192973925728,-6.017551190973669,2.148134351524189,-8.165685542497858,107.6,1.413760603204528
2020-12-01,114.38,5,107.91999999999999,101.4,108.75999999999999,117.71999999999998,111.14999999999999,2,109.29333333333334,3,101.6987922410638,-6.612334061502256,4.082280490127621,-10.694614551629877,108.1,3.444976076555029
2021-01-01,114.3,5,108.0,99.02000000000001,109.34,117.43999999999998,111.15,2,108.60000000000001,3,102.34806629834254,-5.500765175990474,0.8418967438405422,-6.342661919831016,109.0,1.679104477611948
2021-02-01,113.43999999999998,5,104.92,94.35999999999999,107.84,115.84,109.17999999999999,2,106.01333333333332,3,102.98704565463464,-8.567121681601208,-3.054319331829558,-5.51280234977165,107.4,0.6560449859418949
2021-03-01,116.1,5,104.05999999999999,95.0,111.16,120.48000000000002,110.07999999999998,2,108.88,3,101.10213078618662,16.64723958885237,26.32067445278057,-9.6734348639282,108.9,14.270724029380922
